ID,Title,Tier 1 Markers,Tier 2 Markers,Tier 3 Markers,Tier 1 Metrics,Tier 2 Metrics,Tier 3 Metrics
REC0001.1,Increase Fiber Intake,"ApoB, HbA1c, LDL, Fasting Glucose","Fasting Insulin, HOMA-IR",,,,
REC0001.2,Increase Fiber Intake,"ApoB, HbA1c, LDL, Fasting Glucose","Fasting Glucose, HOMA-IR, hsCRP",,,"BMI, % Bodyfat",
REC0001.3 (i),Increase Fiber Intake: Women <50,"ApoB, HbA1c, LDL, Fasting Glucose, HOMA-IR",hsCRP,,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0001.3 (ii),Increase Fiber Intake: Men <50,"ApoB, HbA1c, LDL, Fasting Glucose, HOMA-IR",hsCRP,,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0001.3 (iii),Increase Fiber Intake: Women ≥50,"ApoB, HbA1c, LDL","Fasting Glucose, HOMA-IR, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0001.3 (iv),Increase Fiber Intake: Men ≥50,"ApoB, HbA1c, LDL","Fasting Glucose, HOMA-IR, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0002.1,Prioritize Healthy Fats Over Saturated Fats,"HbA1c, LDL, Omega-3 Index, Total Cholesterol, Triglycerides, HSCRP","Fasting Glucose, Fasting Insulin, HOMA-IR, HDL, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0002.2,Prioritize Healthy Fats Over Saturated Fats,"HbA1c, LDL, Omega-3 Index, Total Cholesterol, Triglycerides, HS-CRP","Fasting Glucose, Fasting Insulin, HOMA-IR, HDL, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0002.3,Prioritize Healthy Fats Over Saturated Fats,"HbA1c, LDL, Omega-3 Index, Total Cholesterol, Triglycerides, HS-CRP","Fasting Glucose, Fasting Insulin, HOMA-IR, HDL, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0003.1,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Fasting Insuling, HOMA-IR, HS-CRP","ApoB, Fasting Glucose, HbA1c, HDL, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, HRV","% Bodyfat, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
