marker/metric,Range,Score
total_cholesterol,Optimal,10
total_cholesterol,Borderline High,linear:7-0
total_cholesterol,High,0
ldl,Optimal,10
ldl,Near-Optimal,linear:7-5.25
ldl,Borderline High,linear:5.25-3.5
ldl,High,linear:3.5-1.75
ldl,Very High,linear:1.75-0
ldl,Critically High,0
hdl_male,Critically Low,0
hdl_male,Suboptimal Low,linear:0-7
hdl_male,Optimal,10
hdl_male,Suboptimal High,linear 7-0
hdl_male,Critically High,0
hdl_female,Critically Low,0
hdl_female,Suboptimal Low,linear:0-7
hdl_female,Optimal,10
hdl_female,Suboptimal High,linear 7-0
hdl_female,Critically High,0
lp(a),Optimal,10
lp(a),Borderline High,linear:7-3.5
lp(a),High,linear:3.5-0
lp(a),Very High,0
triglycerides,Optimal,10
triglycerides,Near-Optimal,linear:7-5.25
triglycerides,Borderline High,linear:5.25-3.5
triglycerides,High,linear:3.5-1.75
triglycerides,Very High,linear:1.75-0
triglycerides,Critically High,0
apob,Optimal,10
apob,Borderline High,linear:7-5.25
apob,High,linear:5.25-3.5
apob,Very High,linear:3.5-0
apob,Critically High,0
omega3_index,Critically Low,0
omega3_index,Suboptimal,linear:0-7
omega3_index,Optimal,10
rdw,Critically Low,0
rdw,Suboptimal Low,linear:0-7
rdw,Optimal,10
rdw,Suboptimal High,linear:7-3.5
rdw,High,linear:3.5-0
rdw,Critically High,0
magnesium_rbc,Severe Deficiency,0
magnesium_rbc,Suboptimal,linear:0-3.5
magnesium_rbc,In-Range,linear:3.5-7
magnesium_rbc,Optimal,10
vitamin_d,Deficient,0
vitamin_d,Insufficient,linear:0-3.5
vitamin_d,Sufficient,linear:3.5-7
vitamin_d,Optimal,10
vitamin_d,Elevated,linear:7-3.5
vitamin_d,High,linear:3.5-0
vitamin_d,Toxic,0
serum_ferritin,Deficient,0
serum_ferritin,Suboptimal Low,linear:0-7
serum_ferritin,Optimal,10
serum_ferritin,Suboptimal High,linear:7-3.5
serum_ferritin,High,linear:3.5-0
serum_ferritin,Excess,0
total_iron_binding_capacity,Low,0
total_iron_binding_capacity,Borderline Low,linear:0-3.5
total_iron_binding_capacity,In-Range (Low),linear:3.5-7
total_iron_binding_capacity,Optimal,10
total_iron_binding_capacity,In-Range (High),linear:7-3.5
total_iron_binding_capacity,Borderline High,linear:3.5-0
total_iron_binding_capacity,High,0
transferrin_saturation,Low,0
transferrin_saturation,Borderline Low,linear:0-3.5
transferrin_saturation,In-Range (Low),linear:3.5-7
transferrin_saturation,Optimal,10
transferrin_saturation,In-Range (High),linear:7-3.5
transferrin_saturation,Borderline High,linear:3.5-0
transferrin_saturation,High,0
hscrp,Optimal,10
hscrp,Low Risk,linear:7-5.25
hscrp,Moderate Risk,linear:5.25-2.625
hscrp,High Risk,linear:2.625-0
hscrp,Very High Risk,0
wbc,Significantly Low,0
wbc,Mildly Low,linear:0-3.5
wbc,In-Range (Lower),linear:3.5-7
wbc,Optimal,10
wbc,In-Range (Upper),linear:7-3.5
wbc,Mildly Elevated,linear:3.5-0
wbc,Significantly High,0
neutrophils,Severe Neutropenia,0
neutrophils,Mild Neutropenia,linear:0-3.5
neutrophils,In-Range (Lower),linear:3.5-7
neutrophils,Optimal,10
neutrophils,In-Range (Upper),linear:7-3.5
neutrophils,Mild Neutrophilia,linear:3.5-0
neutrophils,Severe Neutrophilia,0
lymphocytes,Severe Lymphopenia,0
lymphocytes,Mild Lymphopenia,linear:0-3.5
lymphocytes,In-Range (Low),linear:3.5-7
lymphocytes,Optimal,10
lymphocytes,In-Range (High),linear:7-3.5
