identifier,name,description,calculation_formula,calculation_type,unit_identifier,healthkit_data_type,healthkit_equivalent,source_metric(s),source(s)_calculated_metric,From field: source_calculated_metric,target_value,record_id
daily_meals,Daily Meals,Total number of meals consumed per day,COUNT(meal_logged) WHERE date = target_date,count,meal,wellpath,,meal_logged,,,,recGpA90JnwA5Lwwi
daily_snacks,Daily Snacks,Total number of snack episodes consumed per day,COUNT(snack_logged) WHERE date = target_date,count,snack,wellpath,,snack_logged,,,2,rec39ViJ5ctW3CQJF
daily_steps,Daily Steps,"Total number of steps taken per day, aggregated from all step tracking data sources",SUM(step_taken) WHERE date = target_date,sum,step,quantity,HKQuantityTypeIdentifierStepCount,step_taken,,,10000,recHu8HXEQmRbKRf3
daily_strength_training_sessions,Daily Strength Training Sessions,Number of strength training sessions completed per day,COUNT(strength_session) WHERE date = target_date,count,session,wellpath,,strength_session,,,,recvcfe7uiuqIDjKi
strength_session_duration,Strength Session Duration,Duration of individual strength training sessions in minutes,strength_session.end_time - strength_session.start_time,difference,minutes,wellpath,,strength_session,,daily_strength_training_duration,,recLK67nO62yaipFo
daily_strength_training_duration,Daily Strength Training Duration,Total time spent in strength training activities per day,SUM(strength_session_duration) WHERE date = target_date,sum,minutes,quantity,HKQuantityTypeIdentifierAppleExerciseTime,,strength_session_duration,,45,rec5IeICLAinb5el7
daily_vegetable_servings,Daily Vegetable Servings,Total vegetable servings consumed per day,SUM(vegetable_serving) WHERE date = target_date,sum,serving,wellpath,,vegetable_serving,,,7,reczD2kuUQSd7Ke6F
daily_protein_servings,Daily Protein Servings,Total protein servings consumed per day,SUM(protein_serving) WHERE date = target_date,sum,serving,wellpath,,protein_serving,,,3,rec9KRoI8TVBXgf5V
daily_water_consumption,Daily Water Consumption,Total water consumed in milliliters per day,SUM(water_consumed) WHERE date = target_date,sum,milliliter,quantity,HKQuantityTypeIdentifierDietaryWater,water_consumed,,,2000,recUCwywKgmppMKhV
daily_meditation_sessions,Daily Meditation Sessions,Number of meditation sessions completed per day,COUNT(meditation_session) WHERE date = target_date,count,session,wellpath,,meditation_session,,,,recpmgUccsnHhCXlB
meditation_session_duration,Meditation Session Duration,Duration of individual meditation sessions in minutes,meditation_session_end_time - meditation_session_start_time,difference,minutes,wellpath,,meditation_session,,daily_meditation_duration,,recoeTFC1BAxwhShl
