ID,Title,level_description,scoring_config,updated (VS),Overview,metrics_types_v3,units_v3 (from metrics_types_v3),Needs_work,record_id
REC0001.1,Increase Fiber Intake,"Add one daily serving of fiber-rich food (e.g., oats or beans)",,checked,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",dietary_fiber,serving,,rec9shJve4oUosmbM
REC0001.2,Increase Fiber Intake,Include two distinct sources of fiber each day,,checked,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",dietary_fiber_sources,sources,,recnvgez95waQbIX9
REC0001.3 (i),Increase Fiber Intake: Women <50,Reach 25g of fiber daily with consistent adherence,,checked,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",dietary_fiber_grams,gram,,recyzL1fyLSDVCg58
REC0001.3 (ii),Increase Fiber Intake: Men <50,Reach 38g of fiber daily with consistent adherence,,checked,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",dietary_fiber_grams,gram,,recQGhqpbZNfyn2G8
REC0001.3 (iii),Increase Fiber Intake: Women ≥50,Reach 21g of fiber daily with consistent adherence,,checked,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",dietary_fiber_grams,gram,,recDzEG37NloR565F
REC0001.3 (iv),Increase Fiber Intake: Men ≥50,Reach 30g of fiber daily with consistent adherence,,checked,"Fiber supports metabolic health, digestive function, and cardiovascular resilience. It helps the body eliminate excess cholesterol, regulates blood sugar, and promotes a healthier gut microbiome. Found in foods like oats, beans, flaxseed, and psyllium, soluble fiber is a foundational component of a longevity-supportive diet.",dietary_fiber_grams,gram,,reczWqNcJQXghlR0U
REC0002.1,Prioritize Healthy Fats Over Saturated Fats,"Replace one source of saturated fat per day (e.g., butter → olive oil)",,checked,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",healthy_fat_swap,boolean,,recL0zctdlOG9ciJL
REC0002.2,Prioritize Healthy Fats Over Saturated Fats,Use unsaturated fats as the default in cooking and meal prep,,checked,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",healthy_fat_usage,boolean,,recdvxEqeeiiCGJI6
REC0002.3,Prioritize Healthy Fats Over Saturated Fats,Eliminate most sources of saturated fat and adopt a full Mediterranean-style fat profile,,checked,"Swapping saturated fats for healthier fats like olive oil, avocados, nuts, and fatty fish supports heart and brain health, lowers systemic inflammation, and promotes metabolic balance. These fats are core components of dietary patterns linked to increased longevity and reduced chronic disease risk.",healthy_fat_usage,boolean,,recMiDba4KdZho45D
REC0003.1,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Complete at least 90 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.",,checked,"Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",zone2_cardio_duration,minutes,,recC3HYOpjcuSTlGZ
REC0003.2,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Complete at least 120 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.",,checked,"Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",zone2_cardio_duration,minutes,,recuKwwqbOncMVjuX
REC0003.3,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Complete at least 180 minutes per week of Zone 2 cardio spread across walks, cycling, light jogging, or other steady aerobic activities.",,checked,"Zone 2 cardio involves sustained, moderate-intensity aerobic exercise that keeps your heart rate within a range that maximizes fat oxidation and mitochondrial efficiency. Training in this zone improves metabolic flexibility, insulin sensitivity, and cardiovascular resilience. It's foundational for longevity, endurance, and energy metabolism. You should be able to maintain conversation, but feel like you’re working.",zone2_cardio_duration,minutes,,recBv7jvDZq4Bz29k
REC0004.1,Prioritize 7–9 Hours of Consistent Sleep for Recovery and Longevity,Get 7–9 hours of sleep on at least 3 of 7 nights each week. Focus is on building baseline sufficiency.,,checked,"Consistently getting 7–9 hours of sleep supports cellular repair, metabolic regulation, hormonal balance, and cognitive performance. Sleep is when your body consolidates memory, clears neural waste, and recalibrates critical systems like immune response and glucose control. Building a foundation of sufficient sleep — and doing it consistently — is one of the most powerful longevity levers available.",,,,recfC31Cd5XEGTEOe
REC0004.2,Prioritize 7–9 Hours of Consistent Sleep for Recovery and Longevity,"Get 7–9 hours of sleep on all 5 of 7 nights of the week, building towards full consistency in sleep duration.",,checked,"Consistently getting 7–9 hours of sleep supports cellular repair, metabolic regulation, hormonal balance, and cognitive performance. Sleep is when your body consolidates memory, clears neural waste, and recalibrates critical systems like immune response and glucose control. Building a foundation of sufficient sleep — and doing it consistently — is one of the most powerful longevity levers available.",,,,rec1Vc2GOePfDEKEC
REC0004.3,Prioritize 7–9 Hours of Consistent Sleep for Recovery and Longevity,"Get 7–9 hours of sleep on all nights, plus maintain a consistent sleep and wake schedule (≤60 min variation in both bedtime and wake time over 7 days).",,checked,"Consistently getting 7–9 hours of sleep supports cellular repair, metabolic regulation, hormonal balance, and cognitive performance. Sleep is when your body consolidates memory, clears neural waste, and recalibrates critical systems like immune response and glucose control. Building a foundation of sufficient sleep — and doing it consistently — is one of the most powerful longevity levers available.",,,,recv1aKMQckEj3mWw
REC0005.1 (i),Reduce or Eliminate Alcohol Consumption: Women,Limit alcohol consumption to no more than 1 drink per day,,checked,"Alcohol affects liver health, metabolic function, sleep quality, inflammation, and hormonal balance. For users with elevated GGT, ALT, hsCRP, or disrupted sleep, moderating or removing alcohol intake can lead to significant improvements in biomarker trends and subjective well-being over a 3–4 month protocol.",alcohol_intake,drink,,recVTVGHktZrTVmVm
REC0005.1 (ii),Reduce or Eliminate Alcohol Consumption: Men,Limit alcohol consumption to no more than 2 drinks per day,,checked,"Alcohol affects liver health, metabolic function, sleep quality, inflammation, and hormonal balance. For users with elevated GGT, ALT, hsCRP, or disrupted sleep, moderating or removing alcohol intake can lead to significant improvements in biomarker trends and subjective well-being over a 3–4 month protocol.",alcohol_intake,drink,,recOLd9a3r4HmpWEF
REC0005.2,Reduce or Eliminate Alcohol Consumption: Women and Men,Limit alcohol consumption to no more than 3 drinks per week across 2 days,,checked,"Alcohol affects liver health, metabolic function, sleep quality, inflammation, and hormonal balance. For users with elevated GGT, ALT, hsCRP, or disrupted sleep, moderating or removing alcohol intake can lead to significant improvements in biomarker trends and subjective well-being over a 3–4 month protocol.",alcohol_intake,drink,,rec6a9bBcPsdCgtVi
REC0005.3,Reduce or Eliminate Alcohol Consumption: Women + Men,"Eliminate alcohol consumption entirely, with exception of rare social event if desired",,checked,"Alcohol affects liver health, metabolic function, sleep quality, inflammation, and hormonal balance. For users with elevated GGT, ALT, hsCRP, or disrupted sleep, moderating or removing alcohol intake can lead to significant improvements in biomarker trends and subjective well-being over a 3–4 month protocol.",alcohol_intake,drink,,recEBmO5Apr89hClw
REC0006.1,Increase Protein Intake,Include at least 2 servings of protein throughout each day.,,checked,"Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",dietary_protein,serving,,recQmrpQIhvgDAJFf
REC0006.2,Increase Protein Intake,"Include a protein serving at every main meal (breakfast, lunch, and dinner)",,checked,"Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.",dietary_protein,serving,,reci47ujle6esrsBD
REC0006.3,Increase Protein Intake,"Achieve 1.2–1.5 g/kg body weight daily (or increase by 35–40g from baseline, using tracking/logging tools)",,checked,"Protein is essential for building and maintaining lean muscle, supporting metabolic health, and promoting satiety. Regularly including high-quality protein sources in your meals enhances recovery, supports healthy aging, and helps maintain energy and body composition.","dietary_protein_grams,body_weight","gram,grams_per_kg,kilogram",,recrj2SLthVc3gwFD
REC0007.1,Increase Vegetable Intake,Include at least 2 servings of vegetables throughout each day.,,checked,"Regular vegetable intake supports metabolic health, cardiovascular resilience, and digestive function. Vegetables provide essential micronutrients, fiber, and phytonutrients linked to healthy aging, inflammation reduction, and chronic disease risk reduction.",dietary_vegetables,serving,,rec7WBPPkFwl2cCTn
