question,answer,score
How would you characterize your typical daily diet?,Very healthy,10
How would you characterize your typical daily diet?,Moderately healthy,6
How would you characterize your typical daily diet?,Unhealthy,2
How many full meals do you typically eat per day?,1,2
How many full meals do you typically eat per day?,2,5
How many full meals do you typically eat per day?,3,8
How many full meals do you typically eat per day?,4 or more,10
How many snacks do you typically eat per day?,I don't typically snack,10
How many snacks do you typically eat per day?,1,8
How many snacks do you typically eat per day?,2,6
How many snacks do you typically eat per day?,3,4
How many snacks do you typically eat per day?,4 or more,2
How often do you eat out or order takeout/delivery?,Rarely,10
How often do you eat out or order takeout/delivery?,Once a week,7
How often do you eat out or order takeout/delivery?,Several times a week,4
How often do you eat out or order takeout/delivery?,Daily,2
Do you track your daily protein intake?,True,10
Do you track your daily protein intake?,"No, but I'm generally aware",7
Do you track your daily protein intake?,False,2
How many servings of fruits and vegetables do you consume daily?,0 servings,2
How many servings of fruits and vegetables do you consume daily?,1-2 servings,4
How many servings of fruits and vegetables do you consume daily?,3-4 servings,7
How many servings of fruits and vegetables do you consume daily?,5 or more servings,10
Would you consider increasing your fruit and vegetable consumption in the future in support of your longevity goals?,True,0
Would you consider increasing your fruit and vegetable consumption in the future in support of your longevity goals?,False,0
How often do you consume processed or red meat?,Rarely,10
How often do you consume processed or red meat?,Once a week,7
How often do you consume processed or red meat?,Several times a week,4
How often do you consume processed or red meat?,Daily,2
Would you consider decreasing your processed and red meat consumption in the future in support of your longevity goals?,True,0
Would you consider decreasing your processed and red meat consumption in the future in support of your longevity goals?,False,0
"How often do you consume whole grains (e.g., oats, barley, brown rice, whole wheat)?",Rarely or never,2
"How often do you consume whole grains (e.g., oats, barley, brown rice, whole wheat)?",1–2 times per week,4
"How often do you consume whole grains (e.g., oats, barley, brown rice, whole wheat)?",3–5 times per week,7
"How often do you consume whole grains (e.g., oats, barley, brown rice, whole wheat)?",Daily or almost daily,10
Would you consider increasing your intake of whole grains to support your longevity goals?,True,0
Would you consider increasing your intake of whole grains to support your longevity goals?,False,0
"How often do you consume legumes (e.g., lentils, chickpeas, black beans)?",Rarely or never,2
"How often do you consume legumes (e.g., lentils, chickpeas, black beans)?",1–2 times per week,4
"How often do you consume legumes (e.g., lentils, chickpeas, black beans)?",3–5 times per week,7
"How often do you consume legumes (e.g., lentils, chickpeas, black beans)?",Daily or almost daily,10
Would you consider increasing your legume consumption to support your longevity goals?,True,0
Would you consider increasing your legume consumption to support your longevity goals?,False,0
"How often do you consume seeds such as flaxseed, chia, or hemp?",Rarely or never,2
"How often do you consume seeds such as flaxseed, chia, or hemp?",1–2 times per week,4
"How often do you consume seeds such as flaxseed, chia, or hemp?",3–5 times per week,7
"How often do you consume seeds such as flaxseed, chia, or hemp?",Daily or almost daily,10
"Would you consider increasing your intake of seeds (e.g., flax, chia) to support your longevity goals?",True,0
"Would you consider increasing your intake of seeds (e.g., flax, chia) to support your longevity goals?",False,0
How much water do you drink daily?,Less than 1 liter (34 oz),2
How much water do you drink daily?,1-2 liters (24-68 oz),7
How much water do you drink daily?,More than 2 liters (68 oz),10
Would you consider increasing your daily water intake in the future in support of your longevity goals?,True,0
Would you consider increasing your daily water intake in the future in support of your longevity goals?,False,0
Have you ever worked with a nutritionist or dietitian?,True,10
Have you ever worked with a nutritionist or dietitian?,False,2
Would you consider working with a nutritionist or dietitian in the future in support of your longevity goals?,True,0
Would you consider working with a nutritionist or dietitian in the future in support of your longevity goals?,False,0
Do you have any food allergies or intolerances?,True,5
Do you have any food allergies or intolerances?,False,10
Which of the following are you allergic or intolerant to (select all that apply)?,Gluten,0
Which of the following are you allergic or intolerant to (select all that apply)?,Dairy,0
Which of the following are you allergic or intolerant to (select all that apply)?,Peanuts,0
Which of the following are you allergic or intolerant to (select all that apply)?,Tree nuts,0
Which of the following are you allergic or intolerant to (select all that apply)?,Shellfish,0
Which of the following are you allergic or intolerant to (select all that apply)?,Other (please specify),0
Do you experience any digestive issues?,True,4
Do you experience any digestive issues?,False,10
Which of the following digestive issues do you experience (select all that apply)?,Bloating,0
Which of the following digestive issues do you experience (select all that apply)?,Constipation,0
Which of the following digestive issues do you experience (select all that apply)?,Diarrhea,0
Which of the following digestive issues do you experience (select all that apply)?,Acid reflux,0
Which of the following digestive issues do you experience (select all that apply)?,Other (please specify),0
Have you ever followed a specific diet plan for health or weight management purposes?,True,10
Have you ever followed a specific diet plan for health or weight management purposes?,False,2
Do you track your daily caloric intake?,True,10
Do you track your daily caloric intake?,"No, but I'm generally aware of how many calories I consume each day",5
Do you track your daily caloric intake?,False,0
"If you do track, how many calories do you typically consume per day?","<1,000",2
